معرف الفرع*,معرف العقد*,معرف الشركة*,نوع الزيارة*,حالة الزيارة*,تاريخ الجدولة*,وقت الجدولة,تاريخ التنفيذ,وقت التنفيذ,المدة المتوقعة,خدمة التكييف,خدمة الكهرباء,خدمة السباكة,خدمة النجارة,خدمة الدهان,خدمة التنظيف,خدمة الحدادة,خدمة السيراميك,خدمة الزجاج,خدمة الألمنيوم,خدمة الأرضيات,خدمة الأسقف,خدمة الجدران,حالة الزيارة,ملاحظات,مصدر البيانات
0014-JED-001-0001,0014-001,0014,regular,completed,29-Jun-2025,09:00,29-Jun-2025,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0005-JED-001-0001,0005-001,0005,regular,completed,18-May-25,09:00,18-May-25,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0005-JED-001-0001,0005-001,0005,regular,completed,29-Jun-25,09:00,29-Jun-25,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0005-JED-001-0001,0005-001,0005,regular,completed,1-Oct-2024,09:00,1-Oct-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0005-JED-001-0001,0005-001,0005,regular,completed,1-Jun-2024,09:00,1-Jun-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0005-JED-001-0001,0005-001,0005,regular,completed,12-Feb-24,09:00,12-Feb-24,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0005-JED-001-0001,0005-001,0005,regular,completed,3-Mar-24,09:00,3-Mar-24,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0005-JED-001-0001,0005-001,0005,regular,completed,9-Sep-23,09:00,9-Sep-23,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0005-JED-001-0001,0005-001,0005,regular,completed,1-Oct-23,09:00,1-Oct-23,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0005-JED-001-0001,0005-001,0005,regular,completed,9-Oct-23,09:00,9-Oct-23,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
