Client name,Concept,Location,City,visit1,visit2,visit3,visit4,visit5,visit6,visit7,visit8,visit9,visit10,visit11,visit12,visit13,visit14,visit15,visit16,visit17,visit18,visit19,visit20,visit21,visit22,visit23,visit24,visit25,visit26,visit27,visit28,visit29,visit30
شركة مجموعة شلهوب العربية المحدودة,Faces ,Aliat Mall,المدينة المنورة,25-May-25,9/11/2024,2/2/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة سيفورا العربية المحدودة (ذات مسؤولية محدودة),Sephora,Alshemaisi Tahlia,جدة,5/4/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة سيفورا العربية المحدودة (ذات مسؤولية محدودة),Sephora,Andalus Mall,جدة,5/7/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,GUESS ,Andalus Mall,جدة,5/7/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,Faces ,Aziz Mall,جدة,22-Oct-24,1/8/2025,5/5/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
الشركة العربية للهدايا الراقية المحدودة (ذات مسؤولية محدودة),Swarovski,Aziz Mall,جدة,11/19/2024,1/8/2025,5/5/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,Faces ,Baha Mall,الباحة,12/1/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,Faces ,Dana Mall ,ينبع,7/9/2024,1/2/2025,3/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة سيفورا العربية المحدودة (ذات مسؤولية محدودة),Sephora,Dana Mall ,ينبع,8/11/2024,1/2/2025,3/22/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
الشركة العربية للهدايا الراقية المحدودة (ذات مسؤولية محدودة),Swarovski,Dana Mall ,ينبع,23-Oct-24,8/11/2024,1/2/2025,4/22/2025,,,,,,,,,,,,,,,,,,,,,,,,,,
