معرف الفرع*,معرف العقد*,معرف الشركة*,نوع الزيارة*,حالة الزيارة*,تاريخ الجدولة*,وقت الجدولة,تاريخ التنفيذ,وقت التنفيذ,المدة المتوقعة,خدمة التكييف,خدمة الكهرباء,خدمة السباكة,خدمة النجارة,خدمة الدهان,خدمة التنظيف,خدمة الحدادة,خدمة السيراميك,خدمة الزجاج,خدمة الألمنيوم,خدمة الأرضيات,خدمة الأسقف,خدمة الجدران,حالة الزيارة,ملاحظات,مصدر البيانات
0033-JED-001-0001,0001-001,0033,regular,completed,25-06-2025,09:00,25-06-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,22-01-2024,09:00,22-01-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,01-07-2024,09:00,01-07-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,25-06-2025,09:00,25-06-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,30-12-2024,09:00,30-12-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,22-01-2024,09:00,22-01-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,01-07-2024,09:00,01-07-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,06-07-2025,09:00,06-07-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,22-01-2024,09:00,22-01-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,13-07-2024,09:00,13-07-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,01-02-2025,09:00,01-02-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,25-06-2025,09:00,25-06-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,07-06-2025,09:00,07-06-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-007-0007,0033-007,0033,regular,completed,22-01-2024,09:00,22-01-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-007-0007,0033-007,0033,regular,completed,22-07-2024,09:00,22-07-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-007-0007,0033-007,0033,regular,completed,28-12-2024,09:00,28-12-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-007-0007,0033-007,0033,regular,completed,23-06-2025,09:00,23-06-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,21-01-2025,09:00,21-01-2025,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,22-01-2024,09:00,22-01-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,01-08-2024,09:00,01-08-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,08-07-2024,09:00,08-07-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,01-12-2024,09:00,01-12-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,01-05-2024,09:00,01-05-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,22-01-2024,09:00,22-01-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
